ID,lat,lng,Severity,Weather Condition,Visibility (mi),Wind Speed (mph),Precipitation (in),hour,day,month,Description
A-3866992,39.78067,-105.13507,2,Fair,10,5,0,6,1,9,At Kipling St/Exit 267 - Accident. Road marking work.
A-3866995,39.78067,-105.13507,2,Fair,10,5,0,6,1,9,At Kipling St/Exit 267 - Accident.
A-3866998,39.455057,-105.641726,2,Fair,10,5,0,12,1,9,At CR-62/Geneva Rd/Guanella Pass Rd - Accident.
A-3866999,39.455489,-105.64505,2,Fair,10,5,0,12,1,9,At CR-97/S Foxton Rd - Accident.
A-3867003,39.7254,-105.17132,2,Fair,10,5,0,11,1,9,At I-70 - Accident.
A-3867004,39.74984,-105.01722,2,Fair,10,5,0,11,1,9,At 23rd Ave/Exit 211 - Accident.
A-3867005,39.139421,-104.862344,2,Fair,10,5,0,11,1,9,At County Line Rd/Exit 163 - Accident.
A-3867011,39.135366,-104.862791,2,Fair,10,5,0,12,1,9,At Greenland Rd/Exit 167 - Accident.
A-3867016,39.76328,-105.63873,2,Fair,10,0,0,15,1,9,At CR-308/Exit 233 - Accident.
A-3867018,38.85436,-104.878462,2,Fair,10,20,0,16,1,9,At US-24-BL/Manitou Ave (East) - Accident.
A-3867024,38.27615,-104.60407,2,Heavy Rain,5,25,0.02,18,1,9,At 6th St/Exit 99A - Accident.
A-3867025,40.51837,-104.99228,2,Fair,10,5,0,17,1,9,At CO-392/Exit 262 - Accident.
A-3867027,39.856169,-104.987252,2,Fair,10,10,0,17,1,9,At 84th Ave/Exit 219 - Accident.
A-3867034,39.751141,-105.01687,2,Fair,10,5,0,20,1,9,At 23rd Ave/Exit 211 - Accident.
A-3867035,39.70043,-104.8292,2,Fair,10,10,0,21,1,9,At Mississippi Ave/Exit 7 - Accident.
A-3867837,39.74304,-105.01587,3,Fair,10,5,0,4,2,9,Closed between 17th Ave/19th Ave/Exit 210 and Zuni St/Exit 209C - Road closed due to accident.
A-3867838,39.625787,-104.902876,3,Fair,10,5,0,4,2,9,Closed at CO-88/Belleview Ave/Exit 199 - Road closed due to accident.
A-3867839,39.63965,-104.91083,3,Fair,10,5,0,4,2,9,Ramp closed to I-225 - Road closed due to accident.
A-3867842,39.745081,-105.017831,3,Fair,10,5,0,4,2,9,Closed between 17th Ave/19th Ave/Exit 210 and Zuni St/Exit 209C - Road closed due to accident.
A-3867856,38.60606,-104.68029,2,Fair,10,5,0,10,2,9,At Pikes Peak Meadows/Exit 122 - Accident.
A-3867860,40.620764,-103.173661,3,Fair,10,5,0,12,2,9,Closed between US-6/Exit 125 and CO-63/Exit 115 - Road closed due to accident.
A-3867861,40.2032,-105.095023,3,Fair,10,5,0,14,2,9,Closed at 115th St - Road closed due to accident.
